threshold,precision,recall,f1,accuracy
0.39,0.2517253904831093,0.7467672413793104,0.3765281173594132,0.7214129643117262
0.4,0.26222564497497114,0.7338362068965517,0.38638297872340427,0.7374362709395484
0.41,0.27224919093851135,0.7252155172413793,0.39588235294117646,0.7506676377761593
0.42,0.28351177730192717,0.7133620689655172,0.4057615691081827,0.7646273367322166
0.43,0.2934293429342934,0.7025862068965517,0.413968253968254,0.7759164845836368
0.44,0.30325932923948984,0.6918103448275862,0.42167487684729066,0.7862345229424618
0.45,0.3131163708086785,0.6842672413793104,0.42963464140730717,0.7953386744355426
0.46,0.32605304212168484,0.6756465517241379,0.4398456681866012,0.8061422675406652
0.47,0.33766233766233766,0.6724137931034483,0.4495677233429395,0.8145180869142996
0.48,0.346742209631728,0.6594827586206896,0.454511696992202,0.8216800194221898
0.49,0.35493286631640397,0.6551724137931034,0.460431654676259,0.8270211216314639
0.5,0.3622141997593261,0.6487068965517241,0.4648648648648649,0.831755280407866
0.51,0.3685518955873213,0.6390086206896551,0.4674812770989358,0.8360038844379704
0.52,0.37747920665387075,0.6357758620689655,0.4737053392211963,0.8408594319009468
0.53,0.385676741130092,0.6325431034482759,0.4791836734693877,0.8451080359310512
0.54,0.3912751677852349,0.6282327586206896,0.48221670802315963,0.8480213644088371
0.55,0.3957765667574932,0.6260775862068966,0.48497495826377296,0.8502063607671765
0.56,0.40041350792556857,0.6260775862068966,0.4884405212274065,0.8522699684389415
0.57,0.4036186499652053,0.625,0.4904862579281184,0.8537266326778344
0.58,0.41047416843595186,0.625,0.49551473729175566,0.8566399611556202
0.59,0.413447782546495,0.6228448275862069,0.49699054170249357,0.8579752367079388
0.6,0.41739130434782606,0.6206896551724138,0.49913344887348354,0.8596746783199806
0.61,0.42205882352941176,0.6185344827586207,0.5017482517482518,0.8616168973051711
0.62,0.42749244712990936,0.6099137931034483,0.5026642984014209,0.8640446710366594
0.63,0.43310131477184843,0.603448275862069,0.5042773525438992,0.8663510560815731
0.64,0.4412470023980815,0.5948275862068966,0.5066544286369894,0.8695071619325079
0.65,0.445822994210091,0.5808189655172413,0.5044454843238184,0.8714493809176985
0.66,0.4490145672664953,0.5646551724137931,0.5002386634844869,0.8729060451565914
0.67,0.4590017825311943,0.5549568965517241,0.5024390243902439,0.8761835396941005
0.68,0.4609015639374425,0.5398706896551724,0.49727047146401987,0.8770332605001214
0.69,0.47586872586872586,0.53125,0.5020366598778004,0.8812818645302258
0.7,0.47928994082840237,0.5237068965517241,0.5005149330587023,0.8822529740228211
0.71,0.4848178137651822,0.5161637931034483,0.5,0.883709638261714
0.72,0.49164926931106473,0.5075431034482759,0.49946977730646874,0.8854090798737557
0.73,0.4952178533475027,0.5021551724137931,0.4986623863028357,0.8862588006797767
0.74,0.5005452562704471,0.49461206896551724,0.4975609756097561,0.8874726875455208
0.75,0.5066964285714286,0.4892241379310345,0.49780701754385964,0.8888079630978393
0.76,0.5149769585253456,0.4816810344827586,0.4977728285077951,0.890507404709881
0.77,0.5210589651022864,0.4665948275862069,0.4923251847640705,0.8915999028890508
0.78,0.5322376738305942,0.4536637931034483,0.4898196625945317,0.8935421218742413
0.79,0.5383597883597884,0.4385775862068966,0.4833729216152019,0.8943918426802622
0.8,0.5406162464985994,0.41594827586206895,0.4701583434835566,0.8943918426802622
0.81,0.546142208774584,0.3890086206896552,0.4543738200125865,0.8947560087399854
0.82,0.5616883116883117,0.3728448275862069,0.4481865284974093,0.8965768390386016
0.83,0.5761821366024519,0.3545258620689655,0.4389593062041361,0.8979121145909201
0.84,0.576271186440678,0.3297413793103448,0.41946538725154214,0.8971837824714737
0.85,0.5871369294605809,0.30495689655172414,0.4014184397163121,0.8975479485311969
0.86,0.5972850678733032,0.28448275862068967,0.3854014598540146,0.8977907259043457
0.87,0.6190476190476191,0.2661637931034483,0.37226827430293896,0.8988832240835154
0.88,0.6446280991735537,0.2521551724137931,0.3625096824167312,0.9000971109492595
0.89,0.6646706586826348,0.23922413793103448,0.3518225039619651,0.9007040543821316
0.9,0.69,0.22306034482758622,0.33713355048859933,0.9011896091284293
0.91,0.7106227106227107,0.20905172413793102,0.32306411323896755,0.9013109978150037
0.92,0.7078189300411523,0.1853448275862069,0.2937660119555935,0.8996115562029618
0.93,0.7326732673267327,0.15948275862068967,0.26194690265486725,0.898761835396941
0.94,0.7619047619047619,0.13793103448275862,0.23357664233576642,0.8980335032774945
0.95,0.8045112781954887,0.11530172413793104,0.20169651272384542,0.8971837824714737
0.96,0.7789473684210526,0.07974137931034483,0.14467253176930597,0.8937848992473901
0.97,0.7857142857142857,0.04741379310344827,0.08943089430894309,0.8912357368293276
0.98,0.8333333333333334,0.010775862068965518,0.02127659574468085,0.8883224083515416
0.99,0.0,0.0,0.0,0.8873512988589464
